grapheme,phoneme,organized_grapheme,waw_o_exception_idx,silent_waw_idx,unwritten_A_phone_idx,spoken_A_grapheme_idx,is_variant,variant_num,variant_of_index
گل‌محمدی,"('g', 'o', 'l', 'm', 'o', 'h', 'a', 'm', 'm', 'a', 'd', 'i')",گُل‌مُحَمَّدی,,,,,False,,
گرجی‌پور,"('g', 'o', 'r', 'j', 'i', 'p', 'u', 'r')",گُرجی‌پور,,,,,False,,
مسافات,"('m', 'a', 's', 'A', 'f', 'A', 't')",مَسافات,,,,,False,,
بی‌تن‌و‌تاب,"('b', 'i', 't', 'a', 'n', 'o', 't', 'A', 'b')",بی‌تَن‌و‌تاب,,,,,False,,
نشخوارکنندگان,"('n', 'o', 'S', 'x', 'A', 'r', 'k', 'o', 'n', 'a', 'n', 'd', 'e', 'g', 'A', 'n')",نُشخوارکُنَندِگان,,3,,,False,,
مصاحبه,"('m', 'o', 's', 'A', 'h', 'e', 'b', 'e')",مُصاحِبِه,,,,,False,,
مابه‌ازای,"('m', 'A', 'b', 'e', '?', 'e', 'z', 'A', 'y', 'e')",مابِه‌اِزایِ,,,7,6,False,,
غلامی,"('q', 'o', 'l', 'A', 'm', 'i')",غُلامی,,,,,False,,
تاقچه,"('t', 'A', 'q', 'C', 'e')",تاقچِه,,,,,False,,
معامله,"('m', 'o', '?', 'A', 'm', 'e', 'l', 'e')",مُعاَمِلِه,,,,,False,,
رفوگر,"('r', 'o', 'f', 'u', 'g', 'a', 'r')",رُفوگَر,,,,,False,,
شلوغ‌پلوغ,"('S', 'u', 'l', 'u', 'q', 'p', 'u', 'l', 'u', 'q')",شُلوغ‌پُلوغ,,,,,False,,
کم‌‌دیالوگ,"('k', 'a', 'm', 'd', 'i', 'y', 'A', 'l', 'o', 'g')",کَم‌‌دیالوگ,8,,6,7,False,,
مکاتبه‌ای,"('m', 'o', 'k', 'A', 't', 'e', 'b', 'e', '?', 'i')",مُکاتِبِه‌ای,,,,,False,,
لذات,"('l', 'e', 'z', 'z', 'A', 't')",لِذات,,,4,3,False,,
بهل,"('b', 'e', 'h', 'e', 'l')",بِهِل,,,,,False,,
بیمناک,"('b', 'i', 'm', 'n', 'A', 'k')",بیمناک,,,,,False,,
بی‌کسی,"('b', 'i', 'k', 'a', 's', 'i')",بی‌کَسی,,,,,False,,
آرتروز,"('?', 'A', 'r', 't', 'e', 'r', 'o', 'z')",آرتِروز,,,,,False,,
مباح,"('m', 'o', 'b', 'A', 'h')",مُباح,,,,,False,,
