grapheme,phoneme,organized_grapheme,waw_o_exception_idx,silent_waw_idx,unwritten_A_phone_idx,spoken_A_grapheme_idx,is_variant,variant_num,variant_of_index
آریستوکرات,"('?', 'A', 'r', 'i', 's', 't', 'o', 'k', 'e', 'r', 'A', 't')",آریستوکِرات,5,,,,False,,
مسکر,"('m', 'o', 's', 'k', 'e', 'r')",مُسکِر,,,,,False,,
آموختنی,"('?', 'A', 'm', 'u', 'x', 't', 'a', 'n', 'i')",آموختَنی,,,,,False,,
این,"('?', 'i', 'n')",این,,,,,False,,
رامشگر,"('r', 'A', 'm', 'e', 'S', 'g', 'a', 'r')",رامِشگَر,,,,,False,,
پوست‌کلفت,"('p', 'u', 's', 't', 'k', 'o', 'l', 'o', 'f', 't')",پوست‌کُلُفت,,,,,False,,
حجت,"('h', 'o', 'j', 'j', 'a', 't')",حُجَّت,,,,,False,,
مقبول,"('m', 'a', 'q', 'b', 'u', 'l')",مَقبول,,,,,False,,
تفننی‌بخش,"('t', 'a', 'f', 'a', 'n', 'n', 'o', 'n', 'i', 'b', 'a', 'x', 'S')",تَفَنُّنی‌بَخش,,,,,False,,
کاردکس,"('k', 'A', 'r', 'd', 'e', 'k', 's')",کاردِکس,,,,,False,,
تردیدآوری,"('t', 'a', 'r', 'd', 'i', 'd', 'A', 'v', 'a', 'r', 'i')",تَردیدآوَری,,,,,False,,
استعلام,"('?', 'e', 's', 't', 'e', '?', 'l', 'A', 'm')",اِستِعلام,,,,,False,,
خیمه‌گاه,"('x', 'e', 'y', 'm', 'e', 'g', 'A', 'h')",خِیمِه‌گاه,,,6,5,False,,
رایانید,"('r', 'A', 'y', 'A', 'n', 'i', 'd')",رایانید,,,,,False,,
شپشو,"('S', 'e', 'p', 'e', 'S', 'u')",شِپِشو,,,,,False,,
ابرستاره,"('?', 'a', 'b', 'a', 'r', 's', 'e', 't', 'A', 'r', 'e')",اَبَرسِتارِه,,,,,False,,
سربزیر,"('s', 'a', 'r', 'b', 'e', 'z', 'i', 'r')",سَربِزیر,,,,,False,,
نفوذ‌ناپذیر,"('n', 'o', 'f', 'u', 'z', 'n', 'A', 'p', 'a', 'z', 'i', 'r')",نُفوذ‌ناپَذیر,,,,,False,,
مراحل,"('m', 'a', 'r', 'A', 'h', 'e', 'l')",مَراحِل,,,,,False,,
استقبال‌کننده,"('?', 'e', 's', 't', 'e', 'q', 'b', 'A', 'l', 'k', 'o', 'n', 'a', 'n', 'd', 'e')",اِستِقبال‌کُنَندِه,,,,,False,,
کژپندارانه,"('k', 'a', 'Z', 'p', 'e', 'n', 'd', 'A', 'r', 'A', 'n', 'e')",کَژپِندارانِه,,,,,False,,
هفت‌امامی,"('h', 'a', 'f', 't', '?', 'e', 'm', 'A', 'm', 'i')",هَفت‌اِمامی,,,,,False,,
مسئولیت‌پذیری,"('m', 'a', 's', '?', 'u', 'l', 'i', 'y', 'y', 'a', 't', 'p', 'a', 'z', 'i', 'r', 'i')",مَسئولیَّت‌پَذیری,,,,,False,,
کعب,"('k', 'a', '?', 'b')",کَعب,,,,,False,,
زنانگی,"('z', 'a', 'n', 'A', 'n', 'e', 'g', 'i')",زَنانِگی,,,,,False,,
با‌وصف,"('b', 'A', 'v', 'a', 's', 'f', 'e')",با‌وَصفِ,,,,,False,,
آسیب‌زننده,"('?', 'A', 's', 'i', 'b', 'z', 'a', 'n', 'a', 'n', 'd', 'e')",آسیب‌زَنَندِه,,,,,False,,
آبخوانداری,"('?', 'A', 'b', 'x', 'A', 'n', 'd', 'A', 'r', 'i')",آبخوانداری,,3,,,False,,
رادیاتور,"('r', 'A', 'd', 'i', 'y', 'A', 't', 'o', 'r')",رادیاتور,6,,5,5,False,,
مدیترانه‌تبار,"('m', 'e', 'd', 'i', 't', 'a', 'r', 'A', 'n', 'e', 't', 'a', 'b', 'A', 'r')",مِدیتَرانِه‌تَبار,,,13,10,False,,
آنچنان,"('?', 'A', 'n', 'C', 'e', 'n', 'A', 'n')",آنچِنان,,,,,False,,
برخاسته,"('b', 'a', 'r', 'x', 'A', 's', 't', 'e')",بَرخاستِه,,,,,False,,
پنیرسازی,"('p', 'a', 'n', 'i', 'r', 's', 'A', 'z', 'i')",پَنیرسازی,,,,,False,,
بختیارزاده,"('b', 'a', 'x', 't', 'i', 'y', 'A', 'r', 'z', 'A', 'd', 'e')",بَختیارزادِه,,,6,5,False,,
پرخاش‌جوئی,"('p', 'a', 'r', 'x', 'A', 'S', 'j', 'u', '?', 'i')",پَرخاش‌جوئی,,,,,False,,
اقتدارعلی,"('?', 'e', 'q', 't', 'e', 'd', 'A', 'r', '?', 'a', 'l', 'i')",اِقتِدارعَلی,,,,,False,,
حرفه‌آموخته,"('h', 'e', 'r', 'f', 'e', '?', 'A', 'm', 'u', 'x', 't', 'e')",حِرفِه‌آموختِه,,,,,False,,
احساس‌برانگیز,"('?', 'e', 'h', 's', 'A', 's', 'b', 'a', 'r', 'a', 'n', 'g', 'i', 'z')",اِحساس‌بَراَنگیز,,,,,False,,
اسماعیل‌نیا,"('?', 'e', 's', 'm', 'A', '?', 'i', 'l', 'n', 'i', 'y', 'A')",اِسماعیل‌نیا,,,11,,False,,
ابوعلی,"('?', 'a', 'b', 'u', '?', 'a', 'l', 'i')",اَبوعَلی,,,,,False,,
صولت,"('s', 'o', 'l', 'a', 't')",صولَت,1,,,,False,,
لترمه,"('l', 'a', 't', 'e', 'r', 'm', 'e')",لَتِرمِه,,,,,False,,
همنهشتی,"('h', 'a', 'm', 'n', 'e', 'h', 'e', 'S', 't', 'i')",هَمنِهِشتی,,,,,False,,
دزیره,"('d', 'e', 'z', 'i', 'r', 'e')",دِزیرِه,,,,,False,,
چاپ‌کننده,"('C', 'A', 'p', 'k', 'o', 'n', 'a', 'n', 'd', 'e')",چاپ‌کُنَندِه,,,,,False,,
به‌شخصه,"('b', 'e', 'S', 'a', 'x', 's', 'e')",بِه‌شَخصِه,,,,,False,,
فریادزنان,"('f', 'a', 'r', 'y', 'A', 'd', 'z', 'a', 'n', 'A', 'n')",فَریادزَنان,,,,,False,,
سراند,"('s', 'o', 'r', 'A', 'n', 'd')",سُراند,,,,,False,,
خشتی,"('x', 'e', 'S', 't', 'i')",خِشتی,,,,,False,,
وراثت‌پذیری,"('v', 'e', 'r', 'A', 's', 'a', 't', 'p', 'a', 'z', 'i', 'r', 'i')",وِراثَت‌پَذیری,,,,,False,,
فیروزکوه,"('f', 'i', 'r', 'u', 'z', 'k', 'u', 'h')",فیروزکوه,,,,,False,,
واشینگتن,"('v', 'A', 'S', 'i', 'n', 'g', 't', 'o', 'n')",واشینگتُن,,,,,False,,
دیرگوار,"('d', 'i', 'r', 'g', 'o', 'v', 'A', 'r')",دیرگوار,,,6,6,False,,
شحنه,"('S', 'e', 'h', 'n', 'e')",شِحنِه,,,,,False,,
وقتی‌که,"('v', 'a', 'q', 't', 'i', 'k', 'e')",وَقتی‌کِه,,,,,False,,
انفجار,"('?', 'e', 'n', 'f', 'e', 'j', 'A', 'r')",اِنفِجار,,,,,False,,
مهابادیان,"('m', 'a', 'h', 'A', 'b', 'A', 'd', 'i', 'y', 'A', 'n')",مَهابادیان,,,9,8,False,,
آریایی,"('?', 'A', 'r', 'y', 'A', 'y', 'i')",آریایی,,,,,True,2,12
مستمری‌بگیر,"('m', 'o', 's', 't', 'a', 'm', 'e', 'r', 'r', 'i', 'b', 'e', 'g', 'i', 'r')",مُستَمِرّی‌بِگیر,,,,,True,2,19
ستم‌بار,"('s', 'e', 't', 'a', 'm', 'b', 'A', 'r')",سِتَم‌بار,,,,,True,2,43
گاورس,"('g', 'A', 'v', 'r', 'a', 's')",گاورَس,,,,,True,2,85
هوشمند,"('h', 'u', 's', 'm', 'a', 'n', 'd')",هوشمَند,,,,,True,2,89
پوزیترون,"('p', 'o', 's', 'i', 't', 'r', 'o', 'n')",پوزیترون,,,,,True,2,112
رویاگونه,"('r', 'o', '?', 'y', 'A', 'g', 'u', 'n', 'e')",رویاگونِه,,,4,4,True,2,113
سفر,"('s', 'e', 'f', 'r')",سِفر,,,,,True,2,121
سهیل,"('s', 'o', 'h', 'e', 'i', 'l')",سُهِیل,,,,,True,2,139
بیخ‌گوشی,"('b', 'i', 'x', 'g', 'u', 'S', 'i')",بیخ‌گوشی,,,,,True,2,142
کاکائو,"('k', 'A', 'k', 'A', '?', 'u')",کاکائو,,,,,True,2,151
قدر,"('q', 'a', 'd', 'r')",قَدر,,,,,True,2,157
خواستگاری,"('x', 'v', 'A', 's', 't', 'g', 'A', 'r', 'i')",خواستگاری,,,,,True,2,162
اکلیل‌کاری,"('?', 'e', 'k', 'l', 'i', 'l', 'k', 'A', 'r', 'i')",اِکلیل‌کاری,,,,,True,2,167
والدین,"('v', 'A', 'l', 'e', 'd', 'e', 'y', 'n')",والِدِین,,,,,True,2,175
آرتروز,"('?', 'A', 'r', 't', 'r', 'o', 'z')",آرتروز,,,,,True,2,218
مترصد,"('m', 'o', 't', 'a', 'r', 'a', 's', 's', 'e', 'd')",مُتَرَصِّد,,,,,True,2,236
کودنی,"('k', 'o', 'd', 'a', 'n', 'i')",کودَنی,,,,,True,2,244
زق,"('z', 'e', 'q')",زِق,,,,,True,2,250
ترشیده,"('t', 'o', 'r', 'S', 'i', 'd', 'a', 'h')",تُرشیدَه,,,,,True,2,254
بخل,"('b', 'e', 'x', 'a', 'l')",بِخَل,,,,,True,2,268
توحید,"('t', 'o', 'h', 'i', 'd')",توحید,,,,,True,2,269
ارسطویی,"('?', 'a', 'r', 'a', 's', 't', 'u', 'y', 'i')",اَرَسطویی,,,,,True,2,271
نارنج,"('n', 'A', 'r', 'e', 'n', 'j')",نارِنج,,,,,True,2,293
اعمال,"('?', 'e', '?', 'm', 'A', 'l')",اِعمال,,,,,True,2,303
گندم,"('g', 'a', 'n', 'd', 'a', 'm')",گَندَم,,,,,True,2,306
استخوان‌دار,"('?', 'o', 's', 't', 'o', 'x', 'A', 'n', 'd', 'A', 'r')",اُستُخوان‌دار,,4,,,True,2,318
تایید,"('t', 'a', '?', 'y', 'i', 'd')",تَایید,,,,,True,2,335
تایید,"('t', 'a', '?', 'i', 'd')",تَایید,,,,,True,3,335
بلشویک,"('b', 'o', 'l', 'S', 'e', 'v', 'i', 'k')",بُلشِویک,,,,,True,2,342
سترد,"('s', 'e', 't', 'o', 'r', 'a', 'd')",سِتُرَد,,,,,True,2,346
سپیدار,"('s', 'a', 'p', 'i', 'd', 'A', 'r')",سَپیدار,,,,,True,2,455
آموزگار,"('?', 'A', 'm', 'u', 'z', 'g', 'A', 'r')",آموزگار,,,,,True,2,478
آزما,"('?', 'A', 'z')",آزما,,,,,True,2,488
ننه,"('n', 'a', 'n', 'e')",نَنِه,,,,,True,2,489
استونی,"('?', 'e', 's', 't', 'u', 'n', 'i')",اِستونی,,,,,True,2,498
کرم,"('k', 'a', 'r', 'a', 'm')",کَرَم,,,,,True,2,502
کرم,"('k', 'o', 'r', 'o', 'm')",کُرُم,,,,,True,3,502
کرم,"('k', 'e', 'r', 'm')",کِرم,,,,,True,4,502
لژیون,"('l', 'e', 'Z', 'i', 'o', 'n')",لِژیون,,,,,True,2,526
گفتگو,"('g', 'o', 'f', 't', 'o', 'g', 'u')",گُفتُگو,,,,,True,2,618
گفتگو,"('g', 'o', 'f', 't', 'e', 'g', 'u')",گُفتِگو,,,,,True,3,618
گفتگو,"('g', 'o', 'f', 't', 'g', 'u')",گُفتگو,,,,,True,4,618
برنده,"('b', 'o', 'r', 'r', 'a', 'n', 'd', 'e')",بُرَّندِه,,,,,True,2,630
ابستروکسیون,"('?', 'o', 'b', 's', 't', 'e', 'r', 'o', 'k', 's', 'i', 'y', 'o', 'n')",اُبستِروکسیون,,,,,True,2,646
کاروان,"('k', 'A', 'r', 'e', 'v', 'A', 'n')",کارِوان,,,,,True,2,653
دوره,"('d', 'o', 'r', 'e')",دورِه,,,,,True,2,681
دوره,"('d', 'o', 'r', 'a')",دورَه,,,,,True,3,681
گلاسنوست,"('g', 'l', 'A', 's', 'n', 'o', 's', 't')",گلاسنوست,,,,,True,2,718
الکتروپمپ,"('?', 'e', 'l', 'e', 'k', 't', 'r', 'o', 'p', 'o', 'm', 'p')",اِلِکتروپُمپ,,,,,True,2,726
عدسی,"('?', 'a', 'd', 'd', 'a', 's', 'i')",عَدَّسی,,,,,True,2,733
انشایی,"('?', 'e', 'n', 'S', 'a', 'i')",اِنشاَیی,,,,,True,2,741
ونزوئلا,"('v', 'e', 'n', 'e', 'z', 'u', 'e', 'l', 'A')",وِنِزِوئلا,,,8,5,True,2,785
توهم,"('t', 'u', 'h', 'a', 'm')",توهَم,,,,,True,2,787
روابط‌عمومی,"('r', 'a', 'v', 'A', 'b', 'e', 't', '?', 'o', 'm', 'u', 'm', 'i')",رَوابِط‌عُمومی,,,,,True,2,806
قومیت,"('q', 'o', 'u', 'm', 'i', 'y', 'y', 'a', 't')",قُومیَّت,,,,,True,2,822
گود,"('g', 'o', 'd')",گود,,,,,True,2,823
پسرخاله,"('p', 'e', 's', 'A', 'r', 'x', 'A', 'l', 'e')",پِسرخالِه,,,3,2,True,2,845
نشست,"('n', 'e', 'S', 'a', 's', 't')",نِشَست,,,,,True,2,852
هری,"('h', 'o', 'r', 'r', 'i')",هُرّی,,,,,True,2,877
آریستوکرات,"('?', 'A', 'r', 'i', 's', 't', 'o', 'k', 'r', 'A', 't')",آریستوکرات,,,,,True,2,943
مقبول,"('m', 'a', 'q', 'a', 'b', 'u', 'l')",مَقَبول,,,,,True,2,950
سراند,"('s', 'o', 'r', 'A', 'n', 'a', 'd')",سُرانَد,,,,,True,2,990
